"quartile","item","item_acc","item_total_n","item_total_success","item_binomial_p","sig_above","sig_below","star_above","star_below","star"
3,"3 v 7",0.838235294117647,68,57,0,"yes","no","*"," ","*"
3,"30 v 60",0.909090909090909,44,40,0,"yes","no","*"," ","*"
3,"35 v 53",0.552631578947368,38,21,0.6271,"no","no"," "," "," "
3,"350 v 305",0.416666666666667,24,10,0.5413,"no","no"," "," "," "
3,"351 v 451",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
3,"352 v 358",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
3,"36 v 306",0.916666666666667,24,22,0,"yes","no","*"," ","*"
3,"364 v 436",1,4,4,0.125,"no","no"," "," "," "
3,"402 v 42",1,24,24,0,"yes","no","*"," ","*"
3,"4208 v 4820",0.565217391304348,23,13,0.6776,"no","no"," "," "," "
3,"437 v 137",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
3,"451 v 459",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
3,"459 v 945",0.75,4,3,0.625,"no","no"," "," "," "
3,"4620 v 4520",0.80952380952381,21,17,0.0072,"yes","no","*"," ","*"
3,"475 v 574",1,4,4,0.125,"no","no"," "," "," "
3,"492 v 294",1,4,4,0.125,"no","no"," "," "," "
3,"492 v 592",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
3,"5035 v 5605",0.652173913043478,23,15,0.21,"no","no"," "," "," "
3,"513 v 517",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
3,"534 v 345",1,4,4,0.125,"no","no"," "," "," "
3,"536 v 5362",0.956521739130435,23,22,0,"yes","no","*"," ","*"
3,"585 v 525",0.804878048780488,82,66,0,"yes","no","*"," ","*"
3,"587 v 857",0.75,4,3,0.625,"no","no"," "," "," "
3,"589 v 958",1,4,4,0.125,"no","no"," "," "," "
3,"6 v 60",0.947368421052632,38,36,0,"yes","no","*"," ","*"
3,"6 v 8",0.952380952380952,21,20,0,"yes","no","*"," ","*"
3,"6040 v 6400",0.652173913043478,23,15,0.21,"no","no"," "," "," "
3,"612 v 642",1,6,6,0.0313,"yes","no","*"," ","*"
3,"613 v 361",0.5,4,2,1,"no","no"," "," "," "
3,"64 v 604",0.875,24,21,3e-04,"yes","no","*"," ","*"
